username,level,arena_points
ambulancia de bomberos,1,0
juan cubillos,1,0
🎮 GOCHITO🎮,1,0
Rafaelstella01,1,0
Josué Chacon,1,0
sergio,1,0
Evan Rogel,1,0
C de Comedia,1,0
fabri,1,0
R.﷼Esteban \'🥷🏻,1,0
Bonnie plush toker,1,0
.,1,0
Luisanchx,1,0
xKOSHMAR,1,0
@el JULI GK1,1,0
🍅 tomate🍅,1,0
elpepe,1,0
Blackciño,1,0
Martinez,1,0
miluuuale,1,0
Pato 🦆,1,0
darkness25,1,0
Felosque,1,0
ANONIMO,1,0
hugo,1,0
{OLIVER LIRYCS°}👆🏾🔥🖤,1,0
Ă̈x̆̈ĕ̈l̆̈,1,0
@fundyvision,1,0
b.mamba,1,0
┇ᎴᏗᏉᎥᎴ_TK,1,0
mathias🧛🏻🦅,1,0
XAYDEN🤍,1,0
JAISON 🥷⚔️,1,0
giuliano palomeque,1,0
Frank,1,0
𝙸𝚜𝚊𝚒𝚊𝚜ツ_777,1,0
SXNT_14,1,0
mango_1,1,0
Iker Barragan,1,0
Leo casti,1,0
🤔kevin😵‍💫,1,0
David Vzqz 🇲🇽,1,0
𝖎𝖘𝖆𝖎𝖆𝖘,1,0
nacho💋,1,0
𝐌🅐ℝ🅲𝗢𝑆,1,0
harold_mg,1,0
MRpato,1,0
Alex_11.,1,0
isaac_xd13062,1,0
Farid,1,0
Aarón Salinas,1,0
HUITZILOPOCHTLI,1,0
Johan_Vergel18,1,0
Nicolas Giraldo,1,0
Elrealmaspro,1,0
ボ┊ʜᴇᴄᴛᴏʀ❀,1,0
Lina Marcela Cuenca Betancur,1,0
Mati Edits,1,0
YouFelipeYT,1,0
Carlitos 👿🤫🌹,1,0
Joel Mamani Pérez,1,0
DOMINIC👻,1,0
nagi seishiro,1,0
moisés,1,0
Marquito 🧸,1,0
574ntm,1,0
el panadero,1,0
gama,1,0
♥José✓,1,0
boy sad,1,0
Kevin moreno,1,0
sombra_ff,1,0
Sukuna hei,1,0
MOMAZOS_OZTIAS,1,0
Luciano García,1,0
617774,0,0
841552,0,0
